,superficie,time_ctrl,PRECIPITACION,time_ext,SOL,personal,RACHA,lng,lat,Año,TMAX,medios,PRES_RANGE
176,1.5,2.45,0,2.45,10.0,32,13.6,-8.482594,43.351181,2001,22.0,3,3.10000000000002
177,1.2,3.55,0,3.55,10.0,11,13.6,-8.892316,43.036098,2001,22.0,1,3.10000000000002
178,4.0,2.3,0,2.3,10.0,12,13.6,-8.287932,43.501867,2001,22.0,3,3.10000000000002
179,1.0,0.25,0,0.25,10.0,8,13.6,-8.284681,43.546643,2001,22.0,1,3.10000000000002
180,1.8,2.45,0,2.45,10.0,12,13.6,-8.950453,42.732381,2001,22.0,2,3.10000000000002
181,1.4,0.55,0,0.55,10.0,6,13.6,-8.11102,43.506013,2001,22.0,1,3.10000000000002
182,1.3,2.0,0,2.0,10.0,17,13.6,-9.055546,43.074649,2001,22.0,3,3.10000000000002
183,4.15,1.3,0,1.3,10.0,14,13.6,-9.076537,43.16157,2001,22.0,8,3.10000000000002
184,1.9,1.3,0,1.3,10.0,15,13.6,-8.862134,42.973696,2001,22.0,2,3.10000000000002
185,1.08,1.35,0,1.35,10.0,6,13.6,-8.908956,42.990393,2001,22.0,1,3.10000000000002
186,4.0,3.0,0,3.0,10.0,16,13.6,-8.976258,42.687163,2001,22.0,2,3.10000000000002
187,2.5,1.4,0,1.4,10.0,14,13.6,-8.552529,43.085602,2001,22.0,2,3.10000000000002
188,2.8,3.25,0,3.25,10.0,19,13.6,-8.999427,42.607448,2001,22.0,1,3.10000000000002
189,1.5,0.4,0,0.4,8.3,11,11.4,-8.999427,42.607448,2001,20.6,2,1.89999999999998
190,2.0,3.15,0,3.15,8.3,16,11.4,-8.976258,42.687163,2001,20.6,2,1.89999999999998
191,1.5,0.4,0,0.4,10.0,10,11.1,-8.765401,42.81202,2001,21.4,2,2.80000000000007
192,1.4,2.1,0,2.1,10.0,8,11.1,-8.802512,42.780977,2001,21.4,1,2.80000000000007
193,3.7,4.1,0,4.1,10.0,11,11.1,-8.802674,42.883818,2001,21.4,2,2.80000000000007
194,6.0,3.35,0,3.35,10.0,32,11.1,-8.802512,42.780977,2001,21.4,5,2.80000000000007
195,7.0,3.0,0,3.0,10.0,21,11.1,-8.802512,42.780977,2001,21.4,5,2.80000000000007
196,1.6,2.35,0,2.35,10.0,11,11.1,-8.81752,42.903258,2001,21.4,1,2.80000000000007
197,1.01,2.4,0,2.4,10.0,13,11.1,-8.928184,42.700129,2001,21.4,2,2.80000000000007
198,1.3,1.1,0,1.1,10.6,6,15.3,-9.179648,43.045481,2001,22.8,1,3.39999999999998
199,1.0,2.05,0,2.05,10.6,9,15.3,-8.482594,43.351181,2001,22.8,2,3.39999999999998
200,3.0,1.45,0,1.45,10.6,11,15.3,-8.137555,43.515554,2001,22.8,2,3.39999999999998
201,1.2,1.15,0,1.15,10.6,1,15.3,-8.999427,42.607448,2001,22.8,1,3.39999999999998
202,2.1,3.2,0,3.2,10.6,7,15.3,-8.950453,42.732381,2001,22.8,1,3.39999999999998
203,4.0,2.5,0,2.5,10.6,24,15.3,-8.090466,43.367059,2001,22.8,5,3.39999999999998
204,2.5,2.25,0,2.25,10.6,10,15.3,-8.802512,42.780977,2001,22.8,1,3.39999999999998
205,1.08,3.15,0,3.15,10.6,10,15.3,-9.28126,42.940961,2001,22.8,1,3.39999999999998
